race,rclass,driver,position,points
R2022-3,944c,EDKL,1,25
R2022-3,944c,MAOO,2,23
R2022-3,944c,LAHE,3,21
R2022-3,944c,TEHA,4,19
R2022-3,944c,JUHE,5,18
R2022-3,944c,JOBR,6,17
R2022-3,944c,TERO,7,16
R2022-4,944c,TEHA,1,25
R2022-4,944c,EDKL,2,23
R2022-4,944c,LAHE,3,21
R2022-4,944c,JOBR,4,19
R2022-4,944c,JUHE,5,18
R2022-4,944c,TERO,6,17
R2022-4,944c,MAOO,7,16
R2022-5,944c,TEHA,1,25
R2022-5,944c,LAHE,2,23
R2022-5,944c,EDKL,3,21
R2022-5,944c,JOBR,4,19
R2022-5,944c,MAOO,5,18
R2022-5,944c,TERO,6,17
R2022-6,944c,SARO,1,25
R2022-6,944c,LAHE,2,23
R2022-6,944c,TEHA,3,21
R2022-6,944c,EDKL,4,19
R2022-6,944c,RUNO,5,18
R2022-6,944c,JOBR,6,17
R2022-6,944c,TERO,7,16
R2022-6,944c,MAOO,8,15
R2022-7,944c,SARO,1,25
R2022-7,944c,RUNO,2,23
R2022-7,944c,LAHE,3,21
R2022-7,944c,EDKL,4,19
R2022-7,944c,JOBR,5,18
R2022-7,944c,TEHA,6,17
R2022-7,944c,TERO,7,16
R2022-7,944c,MAOO,8,15
R2022-8,944c,RUNO,1,25
R2022-8,944c,JOBR,2,23
R2022-8,944c,EDKL,3,21
R2022-8,944c,LAHE,4,19
R2022-8,944c,SARO,5,18
R2022-8,944c,TEHA,6,17
R2022-8,944c,MAOO,7,16
R2022-8,944c,TERO,8,15
R2022-9,944c,CHGA,1,25
R2022-9,944c,TERO,2,23
R2022-9,944c,ROHA,3,21
R2022-9,944c,LAHE,4,19
R2022-9,944c,TEHA,5,18
R2022-10,944c,TEHA,1,25
R2022-10,944c,CHGA,2,23
R2022-10,944c,TERO,3,21
R2022-10,944c,ROHA,4,19
R2022-10,944c,LAHE,5,18
R2022-11,944c,CHGA,1,25
R2022-11,944c,JOBR,2,23
R2022-11,944c,ROHA,3,21
R2022-11,944c,LAHE,4,19
R2022-11,944c,TEHA,5,18
R2022-11,944c,TERO,6,17
R2022-12,944c,JOBR,1,25
R2022-12,944c,JUHE,2,23
R2022-13,944c,JOBR,1,25
R2022-13,944c,JUHE,2,23
R2022-14,944c,RUNO,1,25
R2022-14,944c,TEHA,2,23
R2022-14,944c,LAHE,3,21
R2022-14,944c,WIWA,4,19
R2022-14,944c,MAOO,5,18
R2022-14,944c,JEBR,6,17
R2022-14,944c,JUHE,7,16
R2022-14,944c,JOBR,8,15
R2022-15,944c,TEHA,1,25
R2022-15,944c,RUNO,2,23
R2022-15,944c,JOBR,3,21
R2022-15,944c,LAHE,4,19
R2022-15,944c,WIWA,5,18
R2022-15,944c,MAOO,6,17
R2022-15,944c,JEBR,7,16
R2022-15,944c,JUHE,8,15
R2022-16,944c,RUNO,1,25
R2022-16,944c,JOBR,2,23
R2022-16,944c,TEHA,3,21
R2022-16,944c,LAHE,4,19
R2022-16,944c,MAOO,5,18
R2022-16,944c,JUHE,6,17
R2022-16,944c,WIWA,7,16
R2022-16,944c,JEBR,8,15
R2022-17,944c,JOBR,1,25
R2022-17,944c,ROHA,2,23
R2022-17,944c,JOBR,1,25
R2022-17,944c,ROHA,2,23
R2022-3,boxc,HAWE,1,25
R2022-3,boxc,ERVE,2,23
R2022-4,boxc,ERVE,1,25
R2022-4,boxc,HAWE,2,23
R2022-5,boxc,ERVE,1,25
R2022-6,boxc,ERVE,1,25
R2022-7,boxc,ERVE,1,25
R2022-8,boxc,ERVE,1,25
R2022-9,boxc,ERVE,1,25
R2022-9,boxc,HAWE,2,23
R2022-10,boxc,HAWE,1,25
R2022-10,boxc,ERVE,2,23
R2022-11,boxc,HAWE,1,25
R2022-12,boxc,ERVE,1,25
R2022-12,boxc,HAWE,2,23
R2022-12,boxc,JPHU,3,21
R2022-13,boxc,ERVE,1,25
R2022-13,boxc,HAWE,2,23
R2022-13,boxc,JPHU,3,21
R2022-14,boxc,HAWE,1,25
R2022-14,boxc,ERVE,2,23
R2022-15,boxc,HAWE,1,25
R2022-15,boxc,ERVE,2,23
R2022-16,boxc,HAWE,1,25
R2022-16,boxc,ERVE,2,23
R2022-17,boxc,HAWE,1,25
R2022-17,boxc,ERVE,2,23
R2022-18,boxc,ERVE,1,25
R2022-18,boxc,HAWE,2,23
R2022-1,gtc,SAPI,1,25
R2022-2,gtc,SAPI,1,25
R2022-3,gtc,JOHA,1,25
R2022-3,gtc,SAPI,2,23
R2022-3,gtc,WIGR,3,21
R2022-3,gtc,MAME,4,19
R2022-4,gtc,JOHA,1,25
R2022-4,gtc,WIGR,2,23
R2022-4,gtc,SAPI,3,21
R2022-4,gtc,MAME,4,19
R2022-5,gtc,JOHA,1,25
R2022-5,gtc,WIGR,2,23
R2022-5,gtc,SAPI,3,21
R2022-5,gtc,MAME,4,19
R2022-6,gtc,ERHE,1,25
R2022-6,gtc,JOHA,2,23
R2022-6,gtc,SAPI,3,21
R2022-6,gtc,MAME,4,19
R2022-7,gtc,ERHE,1,25
R2022-7,gtc,JOHA,2,23
R2022-7,gtc,SAPI,3,21
R2022-7,gtc,MAME,4,19
R2022-8,gtc,ERHE,1,25
R2022-8,gtc,JOHA,2,23
R2022-8,gtc,SAPI,3,21
R2022-8,gtc,MAME,4,19
R2022-9,gtc,JOHA,1,25
R2022-9,gtc,ERHE,2,23
R2022-9,gtc,SAPI,3,21
R2022-9,gtc,MAME,4,19
R2022-10,gtc,JOHA,1,25
R2022-10,gtc,ERHE,2,23
R2022-10,gtc,SAPI,3,21
R2022-10,gtc,MAME,4,19
R2022-11,gtc,JOHA,1,25
R2022-11,gtc,SAPI,2,23
